time,FF_time,m_soc,m_complet,m_compet,m_esc,m_story,comfeel,disc,swb,gender,age
3,1,1,2,2.7,5,4.5,2.8,2.3,23,1,24
18,2,5,4.7,3.7,5,5,4.8,2,14,2,28
25,3,1.3,2.7,1,5,5,3.5,1.5,10,1,40
20,3,5,4.3,3,3.5,5,4.5,2,28,1,32
15,2,3.7,4.3,2.3,5,5,4.3,2.3,21,1,30
20,3,2.7,4.3,1.3,4,5,4.5,2,27,2,27
37,3,2.3,2.3,1,4,5,5,2.3,14,1,28
15,2,4,3,3.3,3,4.5,3.3,2,23,1,25
6,2,4.3,4,2,4,4.5,4.3,1,17,1,27
15,2,3.7,5,4.3,4,5,3.3,1,31,1,30
5,2,3.7,4.3,1,5,5,4.1,3,28,2,31
20,3,3.7,3.3,3.3,4.5,5,5,3.3,26,2,30
35,3,4.3,3.3,1.7,5,5,4.8,1.5,10,2,48
2,4,4.7,4.7,4,5,4.5,4.5,1.3,30,1,25
4,2,3.7,4,3.7,5,3.5,4,4,33,2,37
2,1,2.3,4.3,4.7,3,2.5,3.5,4.3,23,1,36
7,4,4,4,4,4,4,3,4,26,2,23
16,1,3,3.7,2,4,3.5,3,1,28,1,31
2,1,3,3,3,3,3,4,5.5,20,1,20
6,2,2.3,4.3,1.7,5,5,3.8,2,27,2,24
8,3,2.7,3.3,4,3.5,3,3.8,2,21,2,40
6,1,3.3,3.3,3,4,5,4.5,2.8,23,1,26
3,1,1.3,2,2.3,2.5,2,2.5,4.8,25,2,21
4,1,2,3.7,2,4,4,4,1.3,20,2,25
14,2,3.1,2.9,1.9,4,3.2,3.6,2,26,2,25
6,2,1.9,1.2,2.1,4.8,5,4,1.6,20,2,26
20,3,2,3.3,2.7,5,4,2.8,3.2,13,1,26
32,2,4.3,3.3,2,3.5,4,3.8,1.8,18,1,30
15,2,2,5,3.7,4.5,4,4,1,20,1,20
18,3,5,3.7,3.3,3,4,4.8,2.8,29,1,26
12,1,4.7,4,3,3.5,3,3.5,1.2,24,1,38
30,3,4,4.3,3,4.5,5,4.5,1.6,30,1,31
10,2,5,4,3,1,2,4.8,1.6,19,1,24
13,2,2.7,5,2.3,4,5,4.5,1.2,9,1,30
12,4,5,5,5,5,5,5,6,25,1,24
1,1,1,2.3,1,1,4,1,1,25,1,32
30,2,1,5,4.3,5,3,1,6,18,1,29
30,2,4,3.7,3.3,4,4.5,3.3,2.6,11,1,27
30,3,4.7,5,2,2,4.5,3.8,1.2,20,1,30
5,1,3,4.3,3,2,4.5,3.5,1.2,24,1,26
11,3,3,3.1,3.4,3.9,4.9,4.7,1.3,27,2,27
7,2,2.1,4.6,3.6,3.6,4.7,3.8,1.9,25,1,30
11,4,2.5,3.8,3.1,2.6,4.1,4.8,2.2,26,2,26
13,2,3,4.9,1.3,4,4.6,3.9,1.4,22,1,29
13,1,1.2,4.1,3.2,4.5,4.4,4.6,2.1,25,2,30
15,3,3.7,2.8,3,4.9,4.6,4.2,2,21,1,34
12,3,2.2,4.4,2.8,4.2,4.5,3.6,1.7,27,2,33
20,2,3.9,4.4,3,3.1,4,3.8,2,25,2,19
12,2,3.2,1.6,2.2,4.5,4,4.3,1,13,2,33
16,2,2.9,5,3.1,4.7,3.4,3.1,3.6,19,2,34
13,3,2.9,4,5,3.7,5,3.8,4.4,16,1,28
